shader_id,name,type,description,technique,uniforms,use_with,complexity,mood,keywords,glsl_snippet_hint
fresnel-glow,Fresnel Edge Glow,vertex+fragment,Edge glow effect based on view angle,dot(viewDir normal) to drive emissive intensity,uColor uIntensity uPower,hero-floating-orb|hologram-ui,low,futuristic|premium,fresnel edge glow emissive view angle,pow(1.0 - dot(vNormal viewDir) uPower) * uIntensity
simplex-noise-distort,Simplex Noise Displacement,vertex,Organic vertex displacement using simplex noise,simplex3D(position + time) applied to vertex positions,uTime uStrength uScale,morphing-blob|abstract-fluid-bg,medium,organic|alive|dynamic,simplex noise vertex displacement organic,position += normal * snoise(position * uScale + uTime) * uStrength
chromatic-aberration,Chromatic Aberration,post-processing,RGB channel offset creating lens distortion,Sample R G B channels at offset UVs,uStrength uTime,any post-processing,low,glitch|cinematic|edgy,chromatic aberration rgb split post,texture2D(tDiffuse uv + offset * uStrength).r
god-rays,Volumetric God Rays,post-processing,Light shaft rays from a light source,Radial blur from light position in screen space,uLightPos uExposure uDecay uDensity,procedural-landscape|glass-room,high,cinematic|epic|divine,god rays volumetric light shaft radial,radialBlur(tDiffuse lightPos uExposure uDecay)
iridescence,Iridescent Surface,fragment,Rainbow oil-slick color shift based on angle,Map view angle to hue rotation via HSL,uTime uSpeed uBaseColor,holographic-card|crystal-shard,medium,premium|fashion|futuristic,iridescence rainbow oil slick hue shift,hue = dot(vNormal viewDir) * 360.0 * uSpeed
cloth-wave,Cloth Wave Shader,vertex,Fabric-like wave deformation,Sine wave on Y axis with phase offset per vertex,uTime uAmplitude uFrequency,cloth-simulation|ribbon-wave,medium,organic|elegant|fashion,cloth wave fabric sine deformation,pos.z += sin(pos.x * uFrequency + uTime) * uAmplitude
toon-outline,Cel Toon Outline,vertex+fragment,Cartoon cel-shading with hard outlines,Expand vertices along normals for outline pass,uOutlineWidth uOutlineColor,voxel-world|any stylized,low,playful|cartoon|retro,toon cel shading outline cartoon,gl_Position = vec4(pos + normal * uOutlineWidth)
point-sprite,Point Sprite Particles,fragment,Circular soft point sprites for particles,Distance from center of gl_PointCoord,uSize uColor uOpacity,particle-constellation|smoke-particles,low,dynamic|atmospheric,point sprite particles circular soft,float d = length(gl_PointCoord - 0.5); alpha = 1.0 - smoothstep(0.4 0.5 d)
plasma-field,Plasma Field,fragment,Colorful plasma effect using sine wave combos,Multiple overlapping sine waves summed,uTime uColors,abstract-fluid-bg|aurora-background,medium,psychedelic|energy|vibrant,plasma field sine waves colorful,color = sin(uv.x*6.28+uTime) + sin(uv.y*6.28+uTime*0.5)
water-normal,Water Normal Map,vertex+fragment,Animated water surface with normal mapping,Scroll normal map + additive wave on vertex,uTime uWaveHeight uNormalMap,water-surface,high,serene|natural|premium,water normal map animated surface waves,pos.y += sin(pos.x*uFreq + uTime) * cos(pos.z*uFreq + uTime) * uWaveHeight
hologram-scan,Hologram Scanlines,fragment,Sci-fi hologram with horizontal scanlines,Repeating scanline pattern + fresnel + alpha,uTime uLineFreq uColor,hologram-ui|dna-helix,low,sci-fi|futuristic|tech,hologram scanlines alpha fresnel sci-fi,alpha *= step(0.5 fract(vUv.y * uLineFreq + uTime * 0.1))
glitch-rgb,Glitch RGB Split,fragment,Pixel glitch with RGB channel displacement,Random time-based UV offset per channel,uTime uIntensity uSpeed,glitch-effect,low,edgy|dark|aggressive,glitch rgb split pixel displacement,uv.x += sin(uTime * uSpeed) * uIntensity * random(floor(uv.y * 20.0))
liquid-metal-shader,Liquid Metal,fragment,Reflective chrome-like fluid surface,Environment map + perturbed normals + high specularity,uEnvMap uTime uReflectivity,liquid-metal-hero,high,premium|tech|luxury,liquid metal chrome reflection environment map,vec3 ref = reflect(viewDir perturbedNormal); color = textureCube(uEnvMap ref)
heat-haze,Heat Haze Distortion,fragment,Screen-space heat distortion effect,Wavy UV displacement on screen texture,uTime uStrength uNoise,outdoor scenes|fire effects,medium,hot|dynamic|atmosphere,heat haze distortion wavy uv screen,uv += sin(uv.y * 20.0 + uTime) * uStrength * 0.01
portal-warp,Portal Warp,fragment,Swirling portal warp effect,Polar coordinates + rotation + color,uTime uColor1 uColor2,wormhole-tunnel|hero,medium,mystical|dramatic|immersive,portal warp polar coordinates swirl rotation,float angle = atan(uv.y uv.x) + uTime; color = mix(uColor1 uColor2 sin(angle * 5.0))
star-field,Star Field,vertex+fragment,Animated star field with twinkle,Random points with time-based opacity flicker,uTime uStarCount uStarSize,constellation-bg|space scenes,low,calm|epic|atmospheric,star field twinkle random points,opacity = abs(sin(rand(vUv) * 6.28 + uTime * rand(vUv.yx)))
voronoi-crack,Voronoi Cracks,fragment,Voronoi cell edge pattern for cracks/cells,Voronoi distance field,uTime uScale uColor,crystal-shard|abstract,medium,organic|sci-fi|dramatic,voronoi cracks cells distance field,float d = voronoi(uv * uScale + uTime * 0.1); color = uColor * (1.0 - d)
depth-fog,Depth Fog,vertex+fragment,Distance-based fog blending,gl_FragCoord.z to mix with fog color,uFogColor uFogNear uFogFar,floating-island|voxel-world|procedural-landscape,low,atmospheric|moody|depth,depth fog distance z buffer blend,float fogFactor = smoothstep(uFogNear uFogFar gl_FragCoord.z / gl_FragCoord.w)
fire-particle,Fire Particle Shader,fragment,Flame-like upward dissolve on particles,Noise-based alpha dissolve from bottom to top,uTime uFireColor uSpeed,ambient fire effects,medium,energetic|dramatic|warm,fire particle flame noise dissolve upward,alpha = 1.0 - smoothstep(0.0 1.0 vUv.y + snoise(vUv * 3.0 + uTime) * 0.3)
bokeh-dof,Bokeh Depth of Field,post-processing,Lens blur with bokeh highlight,Circle of confusion based on depth,uFocusDepth uAperture uMaxBlur,depth-of-field|product scenes,high,cinematic|premium|photography,bokeh depth of field lens blur coc,float coc = abs(depth - uFocusDepth) * uAperture; blur = min(coc uMaxBlur)
matcap,MatCap Material,fragment,Fake environment reflection using matcap texture,Transform normal to view space → sample 2D matcap,uMatcap,product-360-viewer|liquid-metal-hero,low,premium|clean|reflective,matcap material fake reflection view normal,vec2 matcapUV = normalize(mat3(viewMatrix) * vNormal).xy * 0.5 + 0.5
outline-pulse,Pulsing Outline,vertex+fragment,Animated glowing outline that pulses,Expanded normals with sin-wave opacity,uTime uColor uSpeed,hero CTA elements,low,energetic|futuristic|interactive,pulsing outline glow animated sin wave,float pulse = abs(sin(uTime * uSpeed)); outlineAlpha = pulse * uIntensity
