name,primary_hex,secondary_hex,accent_hex,emissive_hex,fog_hex,ambient_intensity,mood,style,best_for
Void Neon,#0a0a0f,#1a1a2e,#00f5ff,#00f5ff,#0d0d1a,0.15,electric,cyberpunk,dark tech products
Forge Fire,#1a0800,#3d1a00,#ff6b00,#ff3d00,#1a0a00,0.1,intense,industrial,manufacturing crypto
Arctic Glass,#e8f4f8,#c5dde8,#4fc3f7,#80d8ff,#d0e8f0,0.6,clean,glassmorphism,SaaS health
Obsidian Gold,#0d0d0d,#1a1a1a,#c9a84c,#f0c040,#111111,0.12,luxury,premium,fashion jewelry
Plasma Purple,#0c0015,#1a0030,#a855f7,#c084fc,#100020,0.1,mystical,neon-dark,gaming crypto
Terra Rust,#1c0f00,#3d2200,#c4622d,#e07840,#1a1000,0.2,warm,organic,architecture earth
Glacier White,#f0f5ff,#dce8ff,#6b8cff,#8fa8ff,#e8eeff,0.7,serene,minimal,fintech medical
Sulfur Acid,#0d1200,#1a2600,#aaff00,#88ff00,#0a1500,0.1,toxic,cyberpunk,gaming energy
Crimson Smoke,#150000,#300005,#e53935,#ff5252,#180000,0.1,danger,dramatic,security action
Aurora Teal,#001a1a,#003333,#00e5cc,#00ffcc,#001515,0.15,ethereal,iridescent,wellness AI
Solar Flare,#1a0500,#331000,#ff8c00,#ffb300,#150a00,0.15,energetic,warm-dark,sports fitness
Midnight Blue,#00050f,#000d1f,#1565c0,#1e88e5,#00060f,0.1,corporate,deep,enterprise finance
Sakura Haze,#1a000a,#330015,#f06292,#f48fb1,#150008,0.2,romantic,pastel-dark,beauty lifestyle
Tungsten,#111111,#1c1c1c,#9e9e9e,#bdbdbd,#141414,0.2,industrial,monochrome,portfolio minimal
Bioluminescent,#001a0d,#003320,#00e676,#69f0ae,#001510,0.1,organic,neon-green,biotech nature
Rust Patina,#0f0800,#1f1200,#8d6e63,#a1887f,#120a00,0.25,aged,earthy,heritage antique
Electric Indigo,#05001a,#0d0033,#651fff,#7c4dff,#060015,0.1,psychedelic,neon,music events
Desert Sand,#1a1000,#2e1f00,#d4a843,#e8c060,#18100a,0.3,warm,natural,travel outdoor
Glacial Mint,#001a15,#00332a,#00e5a0,#00ffb8,#001510,0.15,fresh,cool,health wellness
Chrome Dark,#0a0a0a,#141414,#607d8b,#90a4ae,#0d0d0d,0.2,metallic,sleek,auto tech
Rose Quartz,#1a000d,#330015,#e91e63,#f06292,#150008,0.2,passionate,jewel,fashion beauty
Phosphor Green,#000d00,#001a00,#00e800,#76ff03,#000f00,0.05,retro,terminal,hacker developer
Amber Resin,#1a0d00,#331a00,#ff8f00,#ffb300,#150a00,0.2,warm,organic,food craft
Deep Ocean,#000a1a,#001433,#006064,#0097a7,#000c1a,0.1,mysterious,gradient-deep,maritime science
Nebula Pink,#0f000f,#1f001f,#e040fb,#ea80fc,#120010,0.1,cosmic,iridescent,space beauty
Copper Verdigris,#001a0f,#003320,#00897b,#26a69a,#001510,0.2,aged-metal,industrial,finance portfolio
Blood Moon,#1a0000,#330000,#b71c1c,#e53935,#150000,0.05,ominous,dark,horror gaming
Holographic,#050515,#0d0d25,#7986cb,#9fa8da,#080818,0.15,futuristic,iridescent,fashion tech
