scene_id,name,description,primary_stack,secondary_stack,complexity,use_case,industry,mood,keywords,anti_patterns,perf_cost
hero-floating-orb,Floating Orb Hero,Glassmorphic 3D sphere with mouse parallax and ambient glow,R3F + Drei,GSAP,medium,hero section,agency|portfolio|saas,modern|premium|tech,sphere parallax glassmorphism glow ambient,avoid too many lights,medium
scroll-camera-journey,Scroll Camera Journey,Camera moves through 3D world driven by GSAP ScrollTrigger,R3F + GSAP,Three.js,high,full page,agency|studio|product,immersive|cinematic|storytelling,scroll camera path journey cinematic,avoid mobile-first without fallback,high
particle-constellation,Particle Constellation,10K+ particles forming brand shape or logo on scroll,Three.js BufferGeometry,R3F,high,hero|about,tech|crypto|entertainment,dynamic|bold|futuristic,particles constellation logo morph gpu,avoid CPU particle loops,high
product-360-viewer,Product 360 Viewer,GLTF model viewer with OrbitControls annotations and studio lighting,R3F + Drei,Three.js,medium,product showcase,ecommerce|automotive|fashion,clean|premium|interactive,gltf orbit controls product annotations,avoid uncompressed GLTF,medium
abstract-fluid-bg,Abstract Fluid Background,Shader-based fluid noise animated background,Three.js ShaderMaterial,R3F,medium,background,agency|music|crypto,dark|abstract|atmospheric,shader fluid noise background animated,avoid on low-end mobile,medium
text-3d-reveal,3D Text Reveal,Three.js TextGeometry revealed on scroll with material transitions,R3F + Drei Text3D,GSAP,medium,hero|section heading,portfolio|brand|luxury,bold|dramatic|editorial,text 3d geometry scroll reveal,avoid too many text meshes,medium
morphing-blob,Morphing Blob,Simplex noise vertex displacement on sphere creating organic movement,Three.js + custom shader,R3F,high,hero background,beauty|wellness|creative,organic|calm|futuristic,blob morph simplex noise vertex displacement,avoid without GPU check,high
grid-tunnel,Infinite Grid Tunnel,Infinite scrolling grid tunnel with sci-fi aesthetic,Three.js,Spline,medium,hero|loading,gaming|tech|crypto,dark|sci-fi|immersive,grid tunnel infinite scroll sci-fi,avoid as full page background,medium
holographic-card,Holographic Card,CSS 3D transform + iridescence shader on card hover,CSS 3D + GSAP,Three.js post-processing,low,product card|feature card,ecommerce|crypto|gaming,premium|futuristic|interactive,holographic iridescence card hover css3d,avoid on Safari without fallback,low
voxel-world,Voxel World,Minecraft-style chunked voxel world with fog and lighting,Three.js InstancedMesh,R3F,very-high,hero|interactive,gaming|education|metaverse,playful|retro|immersive,voxel minecraft chunks instanced mesh,avoid without LOD system,very-high
particle-burst-cta,Particle Burst CTA,Button click triggers particle explosion effect,Three.js Points,R3F,low,CTA|button interaction,any,energetic|playful|rewarding,particle burst click interaction cta,avoid overuse,low
